Time,Instance,AvgCPUload,AvgRAM
1605182758,1,11.68,40.58
1605182761,1,11.51,40.57
1605182762,1,17.61,40.6
1605182764,1,13.31,40.61
1605182765,1,13.63,40.64
1605182766,1,15.76,40.6
1605182768,1,16.66,40.6
1605182769,1,15.47,40.59
1605182771,1,17.64,40.6
1605182772,1,17.5,40.59
1605182773,1,17.37,40.6
1605182775,1,12.28,40.6
1605182776,1,10.56,40.6
1605182778,1,14.65,40.6
1605182779,1,13.27,40.6
1605182780,1,13.39,40.6
1605182782,1,11.54,40.6
1605182783,1,15.83,40.6
1605182785,1,13.13,40.6
1605182786,1,13.31,40.6
1605182788,1,16.1,40.61
1605182789,1,12.01,40.63
1605182790,1,13.67,40.63
1605182792,1,15.13,40.61
1605182793,1,15.38,40.61
1605182795,1,15.01,40.61
1605182796,1,15.24,40.6
1605182798,1,12.21,40.6
1605182799,1,13.84,40.6
1605182800,1,11.91,40.61
1605182802,1,17.19,40.61
1605182803,1,20.9,40.61
1605182804,1,22.22,40.6
1605182805,1,18.9,40.61
1605182806,1,21.82,40.6
1605182807,1,18.43,40.6
1605182808,1,22,40.61
1605182809,1,22.89,40.61
1605182810,1,18.88,40.61
1605182811,1,23.42,40.61
1605182812,1,15.65,40.6
1605182813,1,17.92,40.61
1605182815,1,21.41,40.61
1605182815,1,21.41,40.61
1605182816,1,22.12,40.6
1605182817,1,18.43,40.59
1605182818,1,21.5,40.6
1605182819,1,21.11,40.59
1605182820,1,19.05,40.59
1605182821,1,20.19,40.6
1605182822,1,18.47,40.59
1605182824,1,11.65,40.6
1605182825,1,15.08,40.6
1605182827,1,15.27,40.61
1605182828,1,14.96,40.6
1605182829,1,14.33,40.6
1605182831,1,16.23,40.6
1605182832,1,16.43,40.6
1605182834,1,15.72,40.6
1605182835,1,19.01,40.63
1605182837,1,53.8,42.58
1605182838,1,91.09,43.27
1605182839,1,96.5,44.2
1605182841,1,98,45.61
1605182842,1,63.2,45.96
1605182844,1,23.14,45.98
1605182845,1,15.03,45.97
1605182847,1,14.09,45.98
1605182848,1,15.29,45.97
1605182849,1,15.62,45.98
1605182851,1,13.83,45.98
1605182852,1,19.37,45.98
1605182854,1,18.69,46
1605182855,1,14.48,46.02
1605182857,1,15.51,46.01
1605182858,1,19.54,46.01
1605182859,1,18.4,46.01
1605182861,1,17.46,46.01
1605182862,1,16.98,46.01
1605182863,1,18.56,46.01
1605182864,1,13.78,46.01
1605182865,1,15,46.01
1605182866,1,17.95,46.01
1605182867,1,15.97,46
1605182868,1,20.41,46.01
1605182869,1,18.3,46.01
1605182870,1,17.91,46.03
1605182871,1,15.39,46.02
1605182872,1,11.69,46.02
1605182873,1,16.67,46.02
1605182874,1,16.15,46.02
1605182875,1,13.83,46.02
1605182876,1,13.93,46.04
1605182877,1,12.16,46.05
1605182878,1,16.38,46.07
1605182879,1,12.84,46.07
1605182880,1,17.02,46.05
1605182881,1,18.29,46.01
1605182883,1,25.82,46.01
1605182884,1,19.67,46.01
1605182886,1,17.01,46.02
1605182887,2,15.73,46.01
1605182889,1,17.1,46.01
1605182890,2,16.74,46.01
1605182892,2,18.04,46.03
1605182893,2,20.47,46.02
1605182894,2,20.14,46.03
1605182896,2,17.01,46.03
1605182897,2,20.8,46.04
1605182899,2,19.04,46.05
1605182900,2,19.45,46.07
1605182902,2,22.55,46.06
1605182903,2,20.42,46.04
1605182904,2,21.19,46.04
1605182906,2,17.59,46.04
1605182907,2,20.47,46.04
1605182909,2,18.61,46.04
1605182910,2,19.25,46.04
1605182912,2,18.05,46.04
1605182913,2,21.4,46.04
1605182915,2,21.46,46.04
1605182916,2,20.1,46.04
1605182918,2,16.38,46.04
1605182919,2,16.69,46.04
1605182920,2,17.28,46.04
1605182922,2,16.16,46.04
1605182923,2,21.09,46.04
1605182924,2,19,46.04
